Time (EDT),AAPL,AMZN,GOOG,MSFT
2024-06-12 10:45:00,215.3699951,187.9098969,178.9199982,437.8699951
2024-06-12 10:46:00,215.6000061,187.9199982,179.0149994,437.8703918
2024-06-12 10:47:00,215.7299957,188.0800018,179.0308075,438.1199951
2024-06-12 10:48:00,215.7501068,188.1849976,179.0399933,438.3299866
2024-06-12 10:49:00,216.0317993,188.2200012,179.0500031,438.1499939
2024-06-12 10:50:00,215.9649963,188.1100006,179.0099945,438.0799866
2024-06-12 10:51:00,216.2711029,188.1100006,178.8999939,437.7399902
2024-06-12 10:52:00,216.030304,188,178.8600006,437.8840027
2024-06-12 10:53:00,216.0500031,187.9799957,178.8865967,437.9599915
2024-06-12 10:54:00,215.9718018,187.8000946,178.7001038,437.7799988
2024-06-12 10:55:00,215.7100067,187.910202,178.7886963,438.0150146
2024-06-12 10:56:00,216.0411987,187.6699982,178.7850037,437.9249878
2024-06-12 10:57:00,216.1331024,187.6499939,178.6549988,437.7799988
2024-06-12 10:58:00,216.1549988,187.6300049,178.6100006,437.8900146
2024-06-12 10:59:00,216.6031036,187.7687988,178.6199951,437.980011
2024-06-12 11:00:00,216.8699951,187.7899933,178.6000061,438.0499878
2024-06-12 11:01:00,217.3899994,187.8191071,178.4100037,438.0599976
2024-06-12 11:02:00,217.0294037,187.8500061,178.4649963,438.0101929
2024-06-12 11:03:00,217.0299988,187.9463959,178.5800018,438.0950012
2024-06-12 11:04:00,216.9949951,187.8699951,178.6399994,438.0400085
2024-06-12 11:05:00,217.1699982,187.8565063,178.6499939,438.0400085
2024-06-12 11:06:00,217.4499969,187.9499969,178.7400055,438.0249939
2024-06-12 11:07:00,217.6649933,187.8300018,178.8899994,437.9299927
2024-06-12 11:08:00,217.8296051,187.9678955,178.9499969,438
2024-06-12 11:09:00,218.0140076,187.9499054,178.8999939,438.3699951
2024-06-12 11:10:00,217.9299927,188.0299988,178.9304962,438.3399963
2024-06-12 11:11:00,217.7799988,187.9700012,178.9700012,437.9899902
2024-06-12 11:12:00,217.3399963,188.0279999,179,438.1950073
2024-06-12 11:13:00,217.2550049,188.0099945,178.9499969,438.0899963
2024-06-12 11:14:00,217.3199005,187.9450073,179.0800934,437.8598022
2024-06-12 11:15:00,217.670105,187.8300018,178.983902,437.4801025
2024-06-12 11:16:00,217.8200073,187.7799988,178.8600006,437.5
2024-06-12 11:17:00,217.7550049,187.7850037,178.9799957,437.6116943
2024-06-12 11:18:00,217.7799988,187.875,179.0700073,437.7799988
2024-06-12 11:19:00,217.7700958,187.8699951,179.1000061,437.8399963
2024-06-12 11:20:00,217.7799988,187.9400024,179.1399994,437.7399902
2024-06-12 11:21:00,217.7301025,187.9900055,179.1699982,437.8800049
2024-06-12 11:22:00,217.6499939,188.1399994,179.1300049,437.9100037
2024-06-12 11:23:00,217.4801025,188.1201019,179.1199951,437.9700012
2024-06-12 11:24:00,217.8249969,188.1000061,179.1100006,438.125
2024-06-12 11:25:00,217.9750061,188.0700073,179.1300049,438.0599976
2024-06-12 11:26:00,217.7501068,188.1049957,179.0399933,438.0599976
2024-06-12 11:27:00,217.4506073,188.0899963,179.0350037,438.1700134
2024-06-12 11:28:00,217.6600037,188.0200043,179.0299988,438.019989
2024-06-12 11:29:00,217.5800934,188.0099945,179.1100006,438.230011
2024-06-12 11:30:00,217.2550049,188.0500031,179.2700043,438.1763
2024-06-12 11:31:00,217.1999969,188.035202,179.2799988,438.230011
2024-06-12 11:32:00,217.5149994,187.9900055,179.1999969,438.2900085
2024-06-12 11:33:00,217.3350067,187.9900055,179.25,438.2449951
2024-06-12 11:34:00,217.4700012,187.9400024,179.1300049,438.5599976
2024-06-12 11:35:00,217.0599976,187.9362946,179.1000061,438.7090149
2024-06-12 11:36:00,217.1513977,188.0700073,179.1100006,438.3999939
2024-06-12 11:37:00,216.9600067,188.1499939,179.1100006,438.5599976
2024-06-12 11:38:00,216.6999969,188.1799927,179.1100006,438.5450134
2024-06-12 11:39:00,216.6300049,188.3150024,179.0899963,438.5700073
2024-06-12 11:40:00,216.6999054,188.2449951,178.9600067,438.6700134
2024-06-12 11:41:00,216.7250061,188.2749939,178.9600067,438.8399963
2024-06-12 11:42:00,216.4299927,188.2550049,178.9299927,438.8699951
2024-06-12 11:43:00,216.4949951,188.2350006,178.8200073,439.1199951
2024-06-12 11:44:00,216.4700012,188.1799927,178.6699982,438.9299927
2024-06-12 11:45:00,216.6300049,188.1100006,178.6403046,438.9899902
2024-06-12 11:46:00,216.2599945,188.0198975,178.4900055,439.0650024
2024-06-12 11:47:00,216.5350037,187.9900055,178.4199982,439.1950073
2024-06-12 11:48:00,216.3500061,187.9600067,178.5549927,439.269989
2024-06-12 11:49:00,216.3049927,187.9949951,178.5800018,439.5295105
2024-06-12 11:50:00,216.383194,187.9299927,178.440094,439.3705139
2024-06-12 11:51:00,216.4098969,187.8200073,178.3600006,439.1499939
2024-06-12 11:52:00,216.8450012,187.7306976,178.3800049,439.2200012
2024-06-12 11:53:00,216.6849976,187.6999969,178.2799988,439.0700073
2024-06-12 11:54:00,216.5149994,187.6499023,178.4400024,439.2399902
2024-06-12 11:55:00,216.423996,187.5899963,178.4199982,439.2399902
2024-06-12 11:56:00,216.3899994,187.4799957,178.3849945,439.1903992
2024-06-12 11:57:00,216.625,187.5,178.4100037,439.2600098
2024-06-12 11:58:00,216.4799957,187.4660034,178.4700012,438.9750061
2024-06-12 11:59:00,216.5075073,187.5,178.3800049,438.8001099
2024-06-12 12:00:00,216.4998932,187.3399963,178.1600037,438.4500122
